trt,site,yr,month,day,line,ring,count
untrtpd,untrtpd_3,2022,6,21,6,15,3
bison,bison_1,2022,7,4,1,1,0
bison,bison_1,2022,7,4,1,2,0
bison,bison_1,2022,7,4,1,3,0
bison,bison_1,2022,7,4,1,4,1
bison,bison_1,2022,7,4,1,5,1
bison,bison_1,2022,7,4,1,6,0
bison,bison_1,2022,7,4,1,7,1
bison,bison_1,2022,7,4,1,8,0
bison,bison_1,2022,7,4,1,9,7
bison,bison_1,2022,7,4,1,10,3
bison,bison_1,2022,7,4,1,11,0
bison,bison_1,2022,7,4,1,12,5
bison,bison_1,2022,7,4,1,13,2
bison,bison_1,2022,7,4,1,14,1
bison,bison_1,2022,7,4,1,15,5
bison,bison_1,2022,7,4,6,1,28
bison,bison_1,2022,7,4,6,2,4
bison,bison_1,2022,7,4,6,3,25
bison,bison_1,2022,7,4,6,4,9
bison,bison_1,2022,7,4,6,5,5
bison,bison_1,2022,7,4,6,6,0
bison,bison_1,2022,7,4,6,7,0
bison,bison_1,2022,7,4,6,8,0
bison,bison_1,2022,7,4,6,9,3
bison,bison_1,2022,7,4,6,10,1
bison,bison_1,2022,7,4,6,11,3
bison,bison_1,2022,7,4,6,12,3
bison,bison_1,2022,7,4,6,13,2
bison,bison_1,2022,7,4,6,14,1
bison,bison_1,2022,7,4,6,15,8
bison,bison_2,2022,7,8,1,1,2
bison,bison_2,2022,7,8,1,2,0
bison,bison_2,2022,7,8,1,3,1
bison,bison_2,2022,7,8,1,4,0
bison,bison_2,2022,7,8,1,5,0
bison,bison_2,2022,7,8,1,6,0
bison,bison_2,2022,7,8,1,7,1
bison,bison_2,2022,7,8,1,8,0
bison,bison_2,2022,7,8,1,9,1
bison,bison_2,2022,7,8,1,10,0
bison,bison_2,2022,7,8,1,11,0
bison,bison_2,2022,7,8,1,12,0
bison,bison_2,2022,7,8,1,13,1
bison,bison_2,2022,7,8,1,14,0
bison,bison_2,2022,7,8,1,15,1
bison,bison_2,2022,7,8,6,1,1
bison,bison_2,2022,7,8,6,2,1
bison,bison_2,2022,7,8,6,3,2
bison,bison_2,2022,7,8,6,4,1
bison,bison_2,2022,7,8,6,5,2
bison,bison_2,2022,7,8,6,6,3
bison,bison_2,2022,7,8,6,7,2
